userName,content,score,sentimen
Ahmad Sya'roni,mudah eror gak jelas,1,negatif
DIDIK48JOGJA (Dodox),"Upgrade basic saja rasanya jadi orang tolollll banget. Sudah berhasil tapi ternyata tidak. sampai ulang 10x coba selalu berhasil, tapi tidak. beneran mencerminkan BUMN kita nih. iya tapi tidak",1,negatif
Elmi Azzahra,"BELI TIKET LOKAL SUSAH TERUS, BERULANG KALI TIMEOUT. APLIKASI GAK JELAS!",1,negatif
Fikri Rizal,"apk aneh, makin susah cari tiket timeout terus maintance gajelas padahal sinyal aman",1,negatif
yus roinia,bobrok banget,1,negatif
Ahmad Faizin Alma,SUSAH DAPAT TIKET KERETA LOKAL JATIM!,1,negatif
Resa Oktapiana,"KAI jelek,masa iya gak kebagian tiket,padahal pas mau pulkam tetap kebagian ngewar dri jam 00:00 tetap dapet,lah ini mw plng tgl 8 ngewar dngn jm yg sma gak kebagian dn gak jelas jg pembukaan tiketnya jam brp,tiba2 udah abis aja,STRESS",1,negatif
Joshua Megantara,"developer anda sepertinya tidak kompeten dalam mengembangkan aplikasi, pecat dan ganti yang lebih kompeten saja untuk kenyamanan konsumen",1,negatif
Muhammad Nauvaldi Akbar A.,"Ketika mau beli tiket selalu request time out padahal koneksi bagus, bahkan terkadang jadwal tidak bisa ditemukan ketika coba pakai wifi tolong diperbaiki !!!!!!",1,negatif
hendra wisnoe,apk bobrok. bumn tpi bikin apk aja nggak bgus.. jadwal sering tidak muncul . bnyak trjadi ng bug..,1,negatif
Agil Imam,"tolong lah perbaiki sistem nya, buat pesan tiket aja susah, udah 3hari gagal terus",1,negatif
Adelia Karsyam,"semakin kesini semakin buruk, padahal tinggal pembayaran malah timeout, docoba berkali kali tetep gabisa, kirain aku doang ternyata temenku ngeluh hal yang sama, jadi nyusahin mahasiswa yang ngandelin kereta buat pp",1,negatif
Yusuf,"Ini kenapa setiap jam 00:00 saya war tiket kereta jurusan baturaja-bandar lampung selalu error, terkadang rute nya belum muncul dan sudah di refresh terus-menerus tapi gak kunjung muncul, tetapi pada saat muncul seluruh tiket sudah sold out, padahal beberapa detik yang kalau bahkan rutenya belum muncul, mohon diberi tanggapan karena sudah 3 hari saya war tiket tapi hanya dapat emosi saja (saya pengguna kau access dari 2022, dan baru dari update kemarin kejadiannya seperti ini)",1,negatif
Anista Vera Duwi Lestari,"Mau pesan tiket, selalu error. Gk ada perbaikan dri pihak KAI.",1,negatif
Ike Lailatul,sering bug dan time out terusss,1,negatif
16 _ Iva Yuni Susanti,"aplikasi setelah update tambah lemot poll, beli tiket loading nya lama banget",1,negatif
Delindya sari,tidak muncul tiba tiba habis,1,negatif
Evan Harlan,"bisa²nya tiket direfresh dari 00.00 ga muncul², eh 00.22 munculnya udah abis semua. aplikasi gbl0k atau bisnis sama calo?",1,negatif
Maman Maman,aplikase remek,1,negatif
dwifransety cahyo,"lemot parah ,setiap lebaran pesan tiket slu lemot ,smpai g dapat ,parah parah ,pdahal sinyal tmpt baik",1,negatif
Dian,"BELI SERVER YG LEBIH GEDE. Kalian doang perusahaan kereta api di Indonesia. Jadi merasa angkuh gitu, ya? Karena nggak punya pesaing? MANA BISA GITU. EFFORT DIKIT LAH. KAMI PENUMPANG JUGA BAYAR. NGGAK WORTH IT BAYAR TIKET DGN PELAYANAN SEPERTI INI.",1,negatif
Mawar Anggun,"tolong lahh di perbaiki lagi untuk apk nya, sudah coba berkali kali dari jam 00.00 sampai jam 01.00 muncul jadwal tidak di temukan terus terusan, ini gimanaa??",1,negatif
Arif Rahman,"nggak niat bikin aplikasi, lemot dan ruwet",1,negatif
Eko Mardianto,"aplikasi lemot, punya negara tapi gak bisa di andalkan..sangat kecewa.",1,negatif
Indra 28,aplikasi bikin emosi loading Mulu bukannya dipermudah Mala dipersusah bagusan yang lama apk nya gak jelas,1,negatif
Sari Wulan,"aplikasi yang sangat tidak memuaskan dan buruk tiap kali pesan tiket selalu time out, pembayaran rumit, top up saldo tidak langsung masuk . tidak membantu, justru mempersulit perjalanan",1,negatif
Hananta Satria,"apalah sinyal bagus tapi buat pesen tiket ga bisa""",1,negatif
mharis firmansyah10,"aplikasi gajelas, udah ada jadwal ditanggal malah jadwal tidak ditemukan, hapus aja aplikasinya",1,negatif
Nirwana Sanju Diwan Ngga,suka eror,1,negatif
Adinda Zulfa,apk ga mutu mosok akses ae gaisok login.keterangan time out ngerti2 moro eentek,1,negatif
Pandu Panatagama Ariyadi Putra,"Saat ingin membeli tiket KA lokal, konfirmasi data selesai untuk lanjut ke pembayaran selalu loading lama lalu timeout terus, dicoba berulang kali hasilnya tetap sama, kemudian dicoba lagi malah jadwal tidak ditemukan. Padahal saya sudah dari h-7 jam 00.00 itu, sampai jam 1 an mencoba dan tiba tiba tiket habis. Dan saya sudah mencoba dua hari berturut turut di mulai dari jam 00.00 juga, hasilnya sama eror terus. Payah.",1,negatif
Virna Hari Nur Azalia,"gagal booking tiket padahal payment berhasil, tp tidak ada pengembalian dana",1,negatif
Yanuar Triono,Gak Jelas Aplikasinya Masa Mau Pesan Aja Susah Bener Sekarang Pakai Wifi Atau Data Seluler Sama Aja...,1,negatif
KENLY RASYADAN HAMIDI,"Buruk sekali, Saya pesan tiket untuk lokal ngewar sampe jam 12 malem malah Jadwal tidak ditemukan,Tolong dibenahi lagi",1,negatif
Sumita Wulandari,"time out terus, rute gak ditemukan pembayaran gagal terus. giliran udah bisa eh tiket habis kecewa banget",1,negatif
Iqmal Abdulaziz,"cara bikin akun gmn? susah banget, apa eror mulu?????",1,negatif
Septian Fernanda,kenapa uang hilang padahal belom ada tiket terpesan,1,negatif
Sabrina Nursyifa,"update nya jelek, selalu aja ada tulisan kadaluwarsa mau di benerin gimana pun jg. Sampe hpus akun uninstall app juga tetep GK bisa login",1,negatif
nur syafa,kaipaynya sulit ferifikasi berkali kali nunggu SMS otp nggak nungul nunggul,1,negatif
Alrez Alrezdi zema rezky,lama downloadnya,1,negatif
Yuka Yuu,"KASIH SAYA ALASAN KENAPA PEMBATALAN/PERGANTIAN JADWAL TIKET KE HARI YANG LAIN TIDAK BISA VIA APLIKASI KAI? DENGAN KETERANGAN TULISAN BERWARNA MERAH.. ""TIDAK ADANYA SATUPUN NAMA PENMPANG ATAS PEMILIK USER ANDA"" ? SEDANGKAN PEMBELIAN TIKET BERHASIL & DENGAN PEMBAYARAN LUNAS!! LANTAS UNTUK APA KETERANGAN PEMBATALAN/PERGANTIAN TIKET ITU ADA JIKA TIDAK BISA DIGANTI/DICANCEL UNTUK TIKET ITU SENDIRI?",1,negatif
Rifqi Hasan,"sudah update apk, tapi tidak ada menu face recognition, upgrade ke member basic tidak bisa, (berhasil tapi masih kembali ke awal)",1,negatif
Sancharaf Sanjani,lemot,1,negatif
M Raka,"apk busuk, gw top up saldonya lama bgt masuknya, keburu ketinggalan kereta gw",1,negatif
ibuku sayang,"aplikasi kentut,cari jadwal kereta antar kota bolak balik ""jadwal belum tersedia""gonta ganti tanggal tetep ""jadwal belum tersedia""keat keat",1,negatif
Ganef Wicaksono,"aplikasi rusak,beli tiket dari jam 12 sampe pagi jam 7 ga masuk tiketnya padahal pembayaran berhasil. buruk sekali",1,negatif
Yahya caesar,"aplikasi jelek bangettttt,server suka down pas jam 00.00, bisa check out tiket pas jam 1-2 malam",1,negatif
Win sal,"App jelek, masa sekelas pemerintah servernya separah ini sih? itu dana pemeliharaan appnya sekecil apa sampe gabisa bikin server bagus? hari ini saya sampe ga tidur loh!!! saya nungguin dari jam 00:00-02:30.",1,negatif
Zulyanto Sca,aplikasi ya Ra rekomendasi waktu cari tiket trobel trus gak ada jadwal mohon disempurnakan min admin maaf saya kasih bitang satu aja soal e sangat memakan waktu buat beli tiket aja,1,negatif
tari lestari,"aplikasi taaiiiiiii.. udh dibelain begadang buat beli tiket lokal, buka aplikasi dari jam 00:00 sampe jam 02:00 selalu timeout, ehhh pas udh bisa malah tiket udh habis gillaaaaaaaaakkkkkk..",1,negatif
Faiz,"PARAH UDAH BAYAR MALAH TIKETNYA GAK MUNCUL, UDAH SUSAH BANGET PULA CARI TIKETNYA",1,negatif
ArI Setiawan,"apk koyok bosok,pesen tiket ae cek angel, e,time at time out ae",1,negatif
Alvindy Astrid,pesan ka dhohoPenataran selalu timeout. belinya mesti offline di stasiun. terus apa gunanya aplikasi ini,1,negatif
revina annaura,ga bgtt kalo loading tu jgn lama lamaa time out mulu jadinya kehabisankan hdeh percuma war gda guna orang apknya lemot trs gjelas,1,negatif
djohan oktaman,"2hari kemarin mau boking tiket trobel trus, tau2 ud habis aj👎",1,negatif
Ilham Nugroho,"Tolong sistem untuk kelas ekonomi di perbaiki lagi ya masak pesennya udah tepat waktu tinggal bayar malah eror habis itu tidak ada jadwal trus tiba tiba tiket habis tolong di perbaiki lagi sistemnya yang ekonomi saya mau mesen juga nunggu waktu harus begadang dulu tapi tiba"" tiket habis",1,negatif
Newheroes 1995,"Udah ditunggu jam 12 malam, saat mau beli loading parah. ditunggu lama akhirnya muncul tpi udah byk yah hbis. giliran ada kursinya pas mau tahap pilih kursi malah pas diklik malah timeout trus. dicoba lgi trus sampai jm 2 udah gk ada kursi . gmna nih aplikasinya, udah direfresh udah logout udab bersihkan cache sampai install uninstall juga masih gk bsa. Kasihan kami yg udah nunggu dan mantengin lama2, eh hasilnya zonk",1,negatif
ika wahyu,"cari tiket sudah standby dari jam 00.00,bgtu buka blm ada 1menit.pemberangkatan yg lokal ke 2,3 sudah habis.saya cek lagi 00.30 tiket sudah habis.yg saya Herankan,mereka dapat tiket itu pakai MANTRA APA?!!!!!?kok yg dpt cepet bgts.sedangkan saya cari tiket susah bgt, jadwal TDK kluar2,giliran kluar tinggal pesan TIMEOUT TERUS.Begitu tinggal merem bbrp menit tiket HABIS.APA HARUS KENAL ORANG DALAM 🙄",1,negatif
Hazela Azalia,"aplikasi sangat menjengkelkan mau beli tiket gk bs², mending balikin aja sistem kayak dulu!!! beli ny di stasiun lgsg 3/2 jam sblm brgkat 🤦🏻‍♀️🤦🏻‍♀️",1,negatif
erna watik,"seminggu war tiket sampai begadang trs apk error. Ga dpt"" tolong diperbaiki!!",1,negatif
єяιςκ gοиdяοиg,"sering nge bug, blank alias Zong terutama pas liburan dan mudik, kesalahan sistem atau jaringan masih belum tau, apakah harus pake wifi warkop sebelah? atau gimana. udah sejam nyoba masuk cuman tertera UPSS JADWAL TIDAK DI TEMUKAN..... sejam 15 menit Bru bisa di akses tapi zomk, tiket habis 🤬🤬 pesen yg berdiri laahh sama TIMEOUT",1,negatif
Ivan Nadhif,"APLIKASI SAMPAH SERVER SAMPAH!!! BELI TIKET LOKAL AJA SUSAH BANGET TIMEOUT TERUS, KECEWA BERAT UDAH PESEN TIKET ANTAR KOTA MALAH BATAL PERKARA GADAPET KERETA LOKAL BUAT KE STASIUN TUJUAN!!!",1,negatif
Vivin Wahyuni,gk jelas,1,negatif
Leni Anata Sari,"aplikasi lemot, tidak berfungsi dengan baik untuk pemesanan tiket, perlu ditingkatkan lagi",1,negatif
Nia Yunita Reza,selalu server time out. padahal sudah bela²in begadang beli tiket.,1,negatif
ratna Sari,"mau pesan tiket aja selalu muncul jadwal belum tersedia dari mulai jam 12 malam sampai setengah 2 pagi, sekalinya bisa pilih kereta pulang pergi kena times out... menyusahkan sekali, mending pakek loket2 jaman kayak dlu aja 😏",1,negatif
Saputra Doni,"parah aplikasi ini saya kira cuma saya saja yang mengalami kendala time out ketika mau pembayaran , dan tiba tiba kembali ke menu utama , pas mau pesan lagi tiba tiba jadwal tidak tersedia , setelah saya baca komen banyak yang seperti itu ternyata , tolong lah kai accsses jangan dipersulit",1,negatif
Della Anggun,coba masih di pegang bapak Ignasius jonan..pasti gak seperti ini apk nya.,1,negatif
lukman ansori,"udah dipantengin, ditungguin nahan ngantuk sampek gak tidur, gak bisa bisa dipesen tiketnya, kena time out terus, udah dicoba berulang ulang ulang ulang ulang ulang kali, ttep time out, mana ngepasin jadwal, mundur terus krna tiketnya keburu kehabisan, gantian ditungguin pas teng jam 00.00 timeout terus gabisa bisa, wifi lancar jayaaa sampai stgh 2 belum tidur nungguin sampek bisa, ternyata tiketnya udah sisa tanpa kursi aja 🤣, kocccaakkkk ini tiketnya boleh dibeli nggak sih 🥲",1,negatif
Muhammad Andika,aplikasi ga jelas masih banyak kendala yang harus diperbaiki!!,1,negatif
gaby natawijaya,"bug nya parah bgt, respon admin jg sprtinha kewalahan jd baru di balas 3hari ini setiap mau pesan jg selalu tdk ditemukan jadwal tapi sekalinya bs tiketnya udh abis, jadi ngga bisa kumpul keluarga deh karna tiket udah pada abis pd sinyal bagus bgt tp tetep bug parah dr aplikasinya. mksh",1,negatif
Ory Ganss,"aplikasi gajelas disuruh booking ka lokal h-7, pas mau booking jam 00.00 malah timeout mulu trus nanti tiba' tiketnya abis, tolong perbaiki bug nya KAI",1,negatif
Dery A.R.,"apaan dah pesen selalu ngelag, tiba-tiba time out, pas udah bisa malah kursinya abis",1,negatif
Rizal Agustyawan Wardana,"lucu sekali aplikasi ini, beli tiket kereta lokal H-7 jadwal tidak ditemukan terus setelah itu time out dan setelah muncul jadwal malah habis. sekelas BUMN malah nyusahin rakyat.",1,negatif
Prisca Rosyta,"tolong dong kai, kl ad bintang mines ku kasih mines. plis tolong dibuat ringan aj, itu aplikasi d akses org banyak lemotnya masya Allah. tolonglah, diperbaiki lagi sumpah beli tiket kereta aja rasanya mau nangis😭knp lemot bgt.",1,negatif
Fransiscus Harsono,bilangnya maintance tapi pas bisa tiket sudah penuh!!,1,negatif
Meilin Nazalia,"asli aplikasinya sekarang makin jelek. dulu mau serame apapun yang akses masih lancar, sekarang apa banget deh gak jelas",1,negatif
Fajar Krisdianto,Aplikasi apa ini sering TIMEOUT 🗿🗿🗿🗿🗿,1,negatif
Yulia Bara,"kebanyakan error, mau pesen tiket jadi susah",1,negatif
Farikha Roudlotul Janna,aplikasi tolol!! beli tiket dari jam 12 malem loading doang sampe tiket habis,1,negatif
Kennan_ Treatment,"KECEWAAAAAAA SAMA APK, SAYA SUDAH WAR TIKET UNTUK TGL 6 APRIL JAM 00.00, SAMPAI PUKUL 00.53 TIDAK BISA MELAKUKAN PEMBAYARAN. SAMPAI SAYA UNINSTAL DAN INSTAL ULANG TETAP TIDAK BISA.",1,negatif
Ucok Ariewibowo,lemot mau booking tiket,1,negatif
andika ardiansyah,"Sistem gak jelas,setiap pesen tiket weekend mesti eror",1,negatif
Arom Wibowo,"aplikasi tidak mendukung sama sekali, bolak balik time out dan loading nya lama banget, sampai kehabisan tiket",1,negatif
Jun Channel,"aplikasi time out terus susah di akses, tolong donk, server nya di perbaiki supaya mudah di akses, payah.... mau beli tiket menyusahkan",1,negatif
Ayu Putri Riyanti,Tolong kai sudah banyak laporan downnya server saat pembelian tiket. apakah tidak ada perbaikan?,1,negatif
Muhammad Yogi Adistira,"Pelayanan kurang efisien, tiap pesan tiket selalu timeout, udah gitu tiba2 abis tiketnya, gk guna aplikasinya",1,negatif
Cesar Atma,"apk bapuk, sering kali merasakan sudah mulai antri dari jam 00.00 dan sudah terlanjur isi kai pay ujung""nya time out mulu dan tiket sudah habis. lebih MANUSIAWI antri seperti dulu beli tiket di stasiun.",1,negatif
muhamad evi,"aplikasi LEMOT mau pesan tiket jadwal tidak di temukan terus tiba tiba tiket semua habis, APLIKASI LEMOT",1,negatif
agung34 tahun,"dari jam 00.00 sudah masuk kode pin bayar,,, loading sampek 2jam belum dapat tiket. besoknya saya ulangin juga seperti itu. pliss tingkatin aplikasiMu🙏🙏🙏",1,negatif
angghyta nevda,"aplikasi GAK GUNA !! udah bela²in nunggu tengah malam dg paketan data & wifi lancar sampai 1 jam tetap dg ket ""jadwal tidak ditemukan"" bisapun saat isi data mau pilih kursi malah ""timeout"" buang² waktu saja, padahal sudah pakai 2hp hasilnya sama aja, giliran sudah ada jadwal ujung²nya ""TIKET HABIS"" kan baanngkeeeeee",1,negatif
Tria Anggraeni,buat cari tiket kereta lokal loading tok,1,negatif
Tatum Mayora Bilqies,"Upgrade bukannya malah bagus malah tambah jelek, tiap mau pesen tiket pasti tulisannya jadwal tidak ditemukan giliran udah muncul malah udah habis. Pas mau bayar pake qris juga qr nya gak muncul. Tolong dong perbaiki lagi servernya. Dari dulu sampai sekarang gak ada perubahan. Jangan cuma tampilan aplikasinya doang yang diupgrade servernya juga tolong diperbaiki!!!!!!! BUSUK BANGETTT",1,negatif
Budy Wijaya,Aplikasi sampah.setelah diperbaharui susah pas mau bayar selalu error.enak aplikasi yang lama,1,negatif
Johan Hanhan,aplikasi lemotttttt percuma di tggu mau buka pun gak bisa,1,negatif
Lenora Zefin,1. Aplikasi sering menampilkan jadwal kosong padahal minimal tanggal pemesanan sudah pas 2. Server sering error,1,negatif
Ardista Bhaskara,"Server aplikasi sangat buruk, tidak ada perkembangan. Terutama pada saat pemesanan kereta lokal",1,negatif
Nibiru,Beli server bagusan dikit,1,negatif
Novia Na,nyuruh update tapi setelah di-update malah keterangan tidak dapat menemukan jadwal kereta sistem nggak jelas😡😡😡😡,1,negatif
Abizar Rendi,"aplikasi buruk sekali. mau beli tiket eror terus. kalau mau meluncurkan sistem beli online, harusnya sudah siap dan matang. kalau online jelek gini. mending cara offline aja.",1,negatif
kaka gazpoll,kai localnya eror Mulu harus beli di stasiun langsung,1,negatif
Edi Sutikno,kesulitan beli tiket jadwal tidak di temukan padahal jam 00:00 masak tiba2 habis,1,negatif
Hendra Cemon,udah nungguin sampai jam 00:00. jadwal tdk di temukan. habis itu kena malah tp tiket sudah habis,1,negatif
Zulfaida Yulia,"Bisa ga sih databasenya diperbesar 🗿 Sekelas KAI kek gini, cih memalukan",1,negatif
Yusuf Arianto,makin lemot setelah di update,1,negatif
Muhammad Kholik,apk terkonyol yg pernah saya instal ga bisa di buat war tiket sudah menunggu lama hasilnya nihil timeout melulu sudah coba selama 30 menit tiba2 sudah soldout semua apk ampas pengembangan terus malah bobrok,1,negatif
Hiraru Yoake,TIDAK LAYAK PAKAI,1,negatif
Syauqi Biruni,"tambah lama bukan semakin baik tp semakin buruk, baru kli ini nemu apk ada updatean tp semakin buruk",1,negatif
Rizky,ayoo perbanyak bintang satunya 👎,1,negatif
LAILATUL RUSHAJ,"gimanaa sihhh jam 00.00 udah ngisi data penumpang tp eror truss,, nyoba refresh eh kereta tidak tersedia.. maksud nya apaa?? di refresh eror mulu,, tolong dong serverrnyaaa kok makin jelek.. dulu ga sejelek ini lohhh",1,negatif
Heri Aryadi,masukan aja...tolong dibenahi sistem nya apalagi pas Momen momen hari besar mau pesen tiket aja loading ya lama...itu aja hal yang harus dibenahi dari segi koneksi,1,negatif
Ryan Suryana,kebanyakan gangguan loding lamaa,1,negatif
andhika yunianto,jadwal tidak di temukan. gitu aja terus sampai ketemu lebaran lagi,1,negatif
ahmadluqman fatoni2179,aplikasi amatiran,1,negatif
Ashbey Faa,lemotttttt,1,negatif
Didit Wijayanto,buruk,1,negatif
Elly Rahmawati,RUWETTT,1,negatif
Ria Alista,tambah gak jelas KAI ... buruk banget terlalu sering timeout .,1,negatif
Choirunnisa Aulia MN,"yang di upgrade aplikasinya apa sih KAI, kalau masalah tema mah gk usah upgrade ngabisin memo ajaa, mending upgrade gimana ngatasi lemotnya apk ketika war tiket daripada tema gk penting bgttttttt",1,negatif
Mualif Zarkasyi,giliran pesan tiket time out Mulu pas event tertentu. ayolah perbaiki!!!,1,negatif
teguh prasetyo,bisa g sih beli tiket kereta pakai aplikasi lain? jujur aplikasi yg ini g worth it,1,negatif
Ananda Bdk,pesen tiket tengah malem buat seminggu kedepan malah jadwalnya ga muncul,1,negatif
Nanda Yulia,"lemot banget, sebelumnya jadwalnya udah muncul tiba"" eror, pas diulang lagi jadwal tidak ada",1,negatif
My Akun,"Aplikasi Error!!! Pelayanan Buruk, Tidak Bisa Pesan!!!!",1,negatif
Librada Ava,"UDAH BELAIN JAM 00.00 BUAT PESEN TIKET LOKAL KNAPA SLALU GABISA??? KALO EMG KEK GINI MENDING MANUAL AJA GAPERLU APLIKASI""AN, LOADING TEROSSSS!!! SEMPET KEBUKA SAMPE PILIH KURSI, TAPI TIBA"" ERROR PENUH SETELAH ITU ILANG SEMUA JADWAL. ABIS MUNCUL MALAH HABIS SEMUA TERUS MAUNYA APA??? BIAR PESEN YG MAHAL??? PIKIRIN JUGA PEKERJA ATAU ANAK RANTAU DONG, JARAK DEKET BUTUH YG MURAH ITU UDH PERJUANGAN KEPOTONG PERJALANAN GRAB KE KOSAN KALO DITAMBAH HARGA TIKET RATUSAN RIBU YA BANGKRUT LAMA"". PLISSSSS",1,negatif
Yuliana reva krisa bella,"Tolong ya min aplikasi nya di perbaiki lagi, pas saya cari tiket itu tiketnya ga muncul sama sekali padahal udah bela""in bangun malem, udah coba connecting train tp tetep ngga ada juga. Terus pas sekali nya muncul tiba"" udah abis itu kenapa ya?anehh bangett sering banget kejadian gini.",1,negatif
Diva nirina,ngelag parah gilaaaa,1,negatif
Joko Setyo Budiarto,"web eror terus, semoga pelayanan lebih ditingkatkan lagi 🙃, 4 hari begadang demi dapat tiket tidak pernah dapat gara gara web sering eror",1,negatif
Lely Dina,"eror mulu, heran dah, upgrade tema doang, bukannya di upgrade tambah bagus malah tambah eror",1,negatif
Fid Chic,SERING ERROR!!!!,1,negatif
Nadhdhif Fikri F_009,apk jelek cuiihh,1,negatif
Djoko Eswantono,"tdk bisa buat pesan tiket, tulisanya timeout terus padahal tiketnya masi ada",1,negatif
Marland Zhoe,update malah lemot,1,negatif
syafi maulana,"aplikasi ampas, isi saldo 100rb udah kena admin 6.500 yang masuk cuma 98.000 .. lol",1,negatif
Nao shin,"error Mulu apk nya pas mau beli tiket, dan haru daftar akun basic Mulu padahal udah daftar tapi di suruh daftar Mulu setiap login",1,negatif
Agoesto Paul07,semakin kesini KAI semakin bobrok... tolong diperbaiki sistem.nya,1,negatif
N.R Yuniar,lemot,1,negatif
Ipung Purwanto,akhirnya setelah update malah ga bisa pake..,1,negatif
Tiffa Sls12,sudah pesan uang juga sudah berkurang disaldo tapi tiketnya gaada .,1,negatif
Hanif Jib,Terlalu Ribet Untuk Pendaftaran,1,negatif
Tantan Hadiansyah,"sudah topup tapi ngga masuk masuk, knpaa?? butuh waktu lama buat masuk ke saldonya hadeuhhh perbaiki tolong",1,negatif
Prajurit Sejati,ga jelas aplikasi nya ga bisa di pakai,1,negatif
Asep muharram,"masih jauh dari kesempurnaan,dari mulai pelayanannya masih jauh dari memuaskan",1,negatif
Saiful Wachid,lemote,1,negatif
muhamad haiqal,"makin ndak jelas aplikasi KAI ini, disuruh upgrade ke aplikasi basic. pas daftar no hp kita ditolak alasannya udah kepakai di aplikasi sebelumnya. gak mungkin kita masukkan no HP orang lain.",1,negatif
Bersama Bhuya di pasar,layanan buruk..susah di akses,1,negatif
Frans Immanuel,apl gajelas mau bayar failed muluk su,1,negatif
Zakian Ifada,"mohon maaf ini gimana yaa, saya pesan 2 tiket dan udah melakukan pembayaran melalui brimo tpi di apk KAI nya notifnya masih menunggu pembayaran sampai waktunya habis dan tiketnya hilang padahal posisinya udah saya bayar lewat brimo al hasil saldo saya berkurang dan enggak mendapatkan tikett",1,negatif
Dilla Fd,"bukan nya makin bagus, ini malah ancur",1,negatif
Mohammad Rozikin,"setiap jam 00.00 wib, saat pilih jadwal keberangkatan pasti Kendala tulisan ""Timeout""... harus dicoba 1-2 jam baru bisa pilih jadwal keberangkatan... sudah menunggu lama nunggu bisa pilih jadwal keberangkatan.... Ehhh, tahunya saat pembayaran gk bisa di klik Bayar,.... ""Time out, Not avaible"".... kurang ngajarr emang... 😒. DataBase Server sistem pusat diBesar in/Di Upgrade lah supaya bisa menampung pengguna saat Hari2 mudik.... bukannya malah Down sistem...",1,negatif
Kikyou Ranubaya,"server sampah, sering down. sekelas aplikasi bumn gampang eror. tiap kali musim lebaran war tiket aplikasi selalu ngebug, proses pembayaran juga lama. kadang udah dapat tiket terus tiba stuck ga bisa keluar aplikasi dan saldo balikk lagi. cek jadwal tiba"" eror, balik cek jadwal lagi tiba"" tiket terjual habis.",1,negatif
Ula Ulza Hilda Rochma,"gajelas bgd nih aplikasi, mentang-mentang gaada saingan jadi gaada pembetulan atau gimana? tolonglah betulin dikit aplikasinya apalagi pas udah pergantian hari masak mau pesen tiket gabisa tau-tau udah habis mulu!!! BETULIN LAH APLIKASIMU ITU!!!",1,negatif
Ferry Alansyah,"apk aneh, tadi jam 00.00 tiket tersedia udah masuk di pengisian data terus mau ke step selanjutnya malah timeout terus padahal sinyal wifi dan data bagus semua + pake 2 hp, 2 2 nya timeout semua. selama 1 jam terus coba keluar dan refresh eeh malah sudah habis kan aneh katanya waktu yang pas itu jam 00.00 malah eror di pengisian data. tolong lah di perbaiki biar orang lain enak buat pesen tiketnya",1,negatif
Aditta putri,"baru kali ini kecewa naik Argo Anggrek, servicenya kemunduran, pesan makanan jam 20.30 utk jam 3 last minit subuh baru diantar.",1,negatif
Ruly Saskia,udah cari tiket dari jam 1 pas mau dibeli katanya timeout terus. giliran jam 2 dicoba lagi udah habis tiketnya nyebelin banget,1,negatif
Amal Amalia,"SANGAT SANGAT SANGAT JELEK , PAYMENT SUDAH BERHASIL , TAPI INFO DARI CS NYA TIMEOUT ,. SERING SEPERTI ITU. APLIKASI SAMPAH.",1,negatif
Agus Sugianto,untuk pembelian tiket lokal sangat buruk,1,negatif
Cleophila Arisandi,"aplikasi apaan ini?udah pesen h-7 muter² trus,pas sdh login tiket habis..kok dari dlu gitu trus,gak ada perbaikan.",1,negatif
Azizah Feby,kai please ini bisa ga sih apk nya di perbaiki lagi mau rencana ke kota jadi batal gara gara KAI ga bisa di akses padahal udh pake 3 hp tetep ga bisa kecewa banget sama KAI,1,negatif
Pontynindya H.A Wulandari,aplikasi bikin emosi jiwaa,1,negatif
Sep Tyant,aplikasi nya sangat buruk bukan mempermudah tapi malah buat pusing sudah bener begadang mau war tiket eeee... pas mau pesen timeout padahal signal bagus paket 40 gb gak jelassss aplikasi nya perbaikan tu aplikasi nya di beli gak bisa tapi tbtb udah pada habis aja tiket nyaa asliiiiii gak bagusssssss perbaiki ituuuuuu dasaaar😔😔😔,1,negatif
Angelica Putri Wahyuni,"jelek bgt masa mau pesen tiket tulisannya timeout terus sampe kehabisan tiket aku nya, di bela""in ga tidur, perbaiki bugnya!",1,negatif
Octavia Nurr,aplikasi lemot bangetttttt udah war mulai jam 00.00 tetep aja lemot sampe bolak balik keluar masuk apk sampe kehabisan tiket juga,1,negatif
Faruqi Zarkasi,"Setelah update bukannya makin bagus malah makim Gajelas, dibela""in pesan dari jam 00.00 tapi selalu timeout, sekalinya bisa ud ditungguin malah tiket tiba"" habis, apaan ini",1,negatif
Ayu Nur,server nya Gk ok ...dibelain Sampek gk tidur ngewar tiket 😭gagal trus,1,negatif
simon pasaribu,otp ngebug terus. pns pns,2,negatif
Yusuf Adhi Pranata,Penggunaan railfood masih perlu banyak yg diperbaiki & dikembangkan,2,negatif
ridwan ali,"buruk daftar pakai nomor hp kode OTP not valid,pakai email kode OTP not valid jam 17:00 😡",2,negatif
HS S,"Terlalu cepat Kadaluarsa Capek sampai harus isi berulangkali... Krn Km perlu waktu utk berdiskusi mslh tempat duduk, makanan, taksi, asuransi, dll , selalu kehabisan waktunya...",2,negatif
Sutarti,tyap x pesen dan input data penumpang Tbtb Lgsung kadaluarsa pdhl sdh satset dan data sdh ada tgl klik. coba di aplikasi Oren yg input data dadakan malah dapet coba... apa gunanya aplikasi kai ini??? bukan mempermudah malah mempersulit pdhl apk resmi nya kai lohhhh hadehhhhhh,2,negatif
Ella Maria,susah memesan tiket stelah update,2,negatif
